Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,4,0.23,7,0.38,9,0.67,9,0.70,10,0.61,9,0.56,11,0.63,0.00
F,2,G.Jesus,6.8,6.8,Arsenal,1,0.10,30,1.84,33,1.59,35,2.85,35,2.94,35,2.29,35,2.15,37,2.30,0.00
D,3,Gabriel,6.0,6.0,Arsenal,88,4.26,86,3.19,83,2.40,81,4.75,81,4.74,80,3.64,78,3.06,77,3.08,0.45
F,4,Havertz,8.1,8.1,Arsenal,90,5.50,84,4.23,81,3.09,80,5.62,79,5.85,79,4.23,78,4.14,78,4.14,0.01
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,58,2.85,50,1.91,48,1.49,48,2.78,45,2.60,46,2.12,46,1.80,45,1.84,0.00
M,7,Jorginho,4.9,4.9,Arsenal,22,0.93,19,0.79,20,0.77,23,1.05,21,0.96,21,0.88,22,0.88,23,0.94,0.00
D,8,Kiwior,4.9,4.9,Arsenal,5,0.23,5,0.18,5,0.17,7,0.33,7,0.33,6,0.27,6,0.22,8,0.30,0.00
M,9,Martinelli,7.0,7.0,Arsenal,51,3.58,43,2.58,43,2.04,41,3.28,44,3.58,43,2.69,43,2.54,43,2.63,0.00
M,10,Nelson,5.0,5.0,Arsenal,6,0.45,3,0.26,6,0.32,8,0.58,8,0.59,7,0.45,8,0.48,7,0.47,0.00
F,11,Nketiah,5.9,5.9,Nott'm Forest,30,1.84,31,1.23,36,1.64,35,1.91,35,1.52,35,1.79,35,1.85,35,1.91,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,11,0.56,7,0.40,8,0.38,9,0.50,10,0.57,10,0.51,9,0.46,10,0.49,0.00
M,13,Ødegaard,8.5,8.5,Arsenal,90,5.45,88,4.44,88,3.45,84,6.12,84,6.26,84,4.70,84,4.53,85,4.61,0.03
G,14,Ramsdale,4.4,4.4,Arsenal,1,0.05,3,0.12,4,0.14,4,0.20,5,0.24,5,0.22,5,0.21,6,0.23,0.00
G,15,Raya,5.5,5.5,Arsenal,94,4.03,92,3.53,91,3.36,91,4.35,90,4.22,90,3.74,89,3.46,89,3.47,0.09
M,16,Rice,6.5,6.5,Arsenal,88,3.44,86,2.91,83,2.36,81,3.63,80,3.62,79,2.93,79,2.76,77,2.79,0.00
M,17,Saka,10.0,10.0,Arsenal,87,6.79,86,5.30,84,4.04,80,7.45,78,7.45,80,5.41,80,5.32,80,5.35,0.90
D,18,Saliba,6.0,6.0,Arsenal,91,4.02,88,2.98,86,2.35,85,4.49,85,4.42,84,3.44,84,2.98,81,2.92,0.08
M,19,Smith Rowe,5.6,5.6,Fulham,75,3.79,71,3.55,69,3.35,67,3.08,65,2.25,65,2.96,66,3.11,63,3.29,0.19
M,20,Thomas,5.0,5.0,Arsenal,55,2.13,39,1.41,39,1.28,37,1.67,36,1.64,37,1.44,37,1.39,34,1.31,0.00
D,21,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,1,0.08,1,0.08,1,0.07,0,0.00,1,0.06,0.00
D,22,Tomiyasu,4.9,4.9,Arsenal,2,0.08,5,0.20,8,0.28,12,0.61,16,0.90,18,0.82,24,0.98,26,1.08,0.00
M,23,Trossard,6.9,6.9,Arsenal,58,3.85,52,2.96,50,2.30,51,4.13,49,3.99,48,3.08,48,2.89,48,3.01,0.00
D,24,White,6.5,6.5,Arsenal,86,4.02,82,2.96,78,2.24,75,4.19,76,4.16,74,3.26,74,2.77,75,2.87,0.00
D,25,Zinchenko,5.0,5.0,Arsenal,20,1.03,16,0.69,14,0.54,14,0.79,15,0.86,14,0.70,14,0.63,13,0.59,0.00
D,26,Alex Moreno,4.4,4.4,Aston Villa,54,2.50,73,1.49,72,2.06,71,3.13,70,1.57,68,2.80,69,2.78,68,2.75,0.00
F,27,Archer,5.0,5.0,Southampton,33,1.72,34,1.72,33,2.06,34,1.67,33,1.33,34,2.04,34,1.33,35,1.98,0.00
M,28,Bailey,6.5,6.5,Aston Villa,74,4.24,73,4.58,69,4.37,67,4.03,66,3.81,64,3.40,66,3.97,64,3.01,0.00
M,29,Barkley,5.4,5.4,Aston Villa,13,0.71,12,0.73,11,0.65,11,0.63,12,0.69,12,0.64,13,0.78,15,0.70,0.00
M,30,Barrenechea,5.0,5.0,Aston Villa,5,0.17,4,0.17,3,0.11,3,0.11,3,0.11,3,0.10,3,0.11,4,0.13,0.00
M,31,Buendia,5.4,5.4,Aston Villa,7,0.48,8,0.57,7,0.55,9,0.60,9,0.60,10,0.61,10,0.67,11,0.58,0.00
D,32,Cash,4.5,4.5,Aston Villa,0,0.00,28,1.47,53,2.69,61,2.84,59,2.48,61,2.48,59,2.69,60,1.75,0.00
M,33,Dendoncker,4.5,4.5,Aston Villa,6,0.31,5,0.25,3,0.19,4,0.20,4,0.20,4,0.20,5,0.26,4,0.22,0.00
M,34,Diaby,6.5,6.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,35,Diego Carlos,4.5,4.5,Aston Villa,31,1.29,30,1.44,26,1.18,23,0.95,25,0.92,24,0.85,23,0.99,26,0.68,0.00
D,36,Digne,4.5,4.5,Aston Villa,70,3.36,57,3.16,48,2.52,49,2.44,48,2.14,45,1.96,48,2.32,50,1.57,0.00
M,37,Dobbin,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,38,Duran,6.0,6.0,Aston Villa,28,1.76,28,1.95,28,1.92,29,1.96,30,1.84,30,1.74,31,1.96,30,1.59,0.00
G,39,Gauci,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,40,Hause,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,41,Iling Jr,5.4,5.4,Aston Villa,7,0.45,7,0.46,6,0.42,8,0.51,7,0.47,9,0.52,10,0.64,10,0.55,0.00
M,42,Kamara,5.0,5.0,Aston Villa,0,0.00,30,1.02,60,1.93,68,2.08,67,2.00,65,1.93,66,2.05,65,1.77,0.00
D,43,Kesler-Hayden,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,44,Konsa,4.5,4.5,Aston Villa,90,3.58,87,4.05,85,3.67,85,3.40,82,2.93,82,2.92,82,3.32,82,1.97,0.60
D,45,Maatsen,5.0,5.0,Aston Villa,31,1.43,42,2.27,50,2.57,49,2.35,49,2.12,51,2.15,48,2.31,47,1.44,0.00
G,46,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,47,Martinez,5.0,5.0,Aston Villa,94,3.84,93,4.05,92,3.85,92,3.74,91,3.43,92,3.59,92,3.68,91,3.15,0.00
M,48,McGinn,5.5,5.5,Aston Villa,82,3.41,79,3.56,77,3.54,76,3.47,74,3.18,74,2.94,74,3.33,75,2.68,0.00
D,49,Mings,4.5,4.5,Aston Villa,0,0.00,9,0.38,17,0.72,23,0.95,25,0.93,26,0.94,25,1.04,24,0.64,0.00
D,50,Nedeljkovic,4.0,4.0,Aston Villa,68,2.92,47,2.32,28,1.33,22,0.96,24,0.95,24,0.96,24,1.06,24,0.73,0.00
G,51,Olsen,4.5,4.5,Aston Villa,0,0.00,2,0.09,3,0.14,2,0.09,4,0.15,3,0.13,3,0.13,4,0.13,0.00
D,52,Pau,4.5,4.5,Aston Villa,85,3.32,77,3.58,70,3.10,66,2.62,67,2.33,65,2.29,65,2.59,65,1.57,0.00
M,53,Ramsey,5.5,5.5,Aston Villa,31,1.67,33,1.90,30,1.76,32,1.77,32,1.74,32,1.62,31,1.71,33,1.54,0.00
M,54,Rogers,5.1,5.1,Aston Villa,76,3.85,74,4.13,73,4.07,70,3.79,69,3.53,70,3.32,67,3.59,68,2.86,0.32
G,55,Sinisalo,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
