Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0.00
F,2,G.Jesus,6.5,6.5,Arsenal,0,0.00,0,0.00,0,0.00,0.00
D,3,Gabriel,6.2,6.2,Arsenal,0,0.00,0,0.00,0,0.00,0.01
F,4,Havertz,7.7,7.7,Arsenal,0,0.00,0,0.00,18,1.28,0.00
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.6,5.6,Arsenal,65,1.89,76,3.00,71,3.71,0.03
M,7,Jorginho,4.6,4.6,Arsenal,19,0.72,20,0.79,22,0.94,0.00
D,8,Kiwior,4.8,4.8,Arsenal,84,2.19,78,2.87,73,3.56,0.40
M,9,Martinelli,6.5,6.5,Arsenal,55,2.69,58,3.23,55,3.93,0.00
M,10,Nelson,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0.00
F,11,Nketiah,5.9,5.9,Crystal Palace,41,2.26,40,2.17,41,1.77,0.00
M,12,Nwaneri,4.4,4.4,Arsenal,30,1.43,32,1.69,34,2.16,0.00
M,13,Ødegaard,8.2,8.2,Arsenal,84,3.31,82,3.74,79,4.49,0.00
G,14,Ramsdale,4.4,4.4,Southampton,93,2.94,93,3.13,92,2.94,0.00
G,15,Raya,5.6,5.5,Arsenal,94,3.38,92,3.63,92,4.17,0.69
M,16,Rice,6.2,6.2,Arsenal,82,2.61,80,2.86,76,3.35,0.00
M,17,Saka,10.3,10.3,Arsenal,81,4.42,80,5.07,78,6.28,0.13
D,18,Saliba,6.5,6.5,Arsenal,90,2.34,87,3.25,84,4.16,0.63
M,19,Smith Rowe,5.1,5.1,Fulham,57,2.95,50,2.40,46,2.07,0.00
M,20,Thomas,4.9,4.9,Arsenal,72,2.05,69,2.18,67,2.54,0.00
D,21,Tierney,4.3,4.3,Arsenal,11,0.43,12,0.53,13,0.67,0.00
D,22,Tomiyasu,4.8,4.8,Arsenal,0,0.00,0,0.00,0,0.00,0.00
M,23,Trossard,6.8,6.8,Arsenal,56,2.71,49,2.94,49,3.56,0.01
D,24,White,6.1,6.1,Arsenal,42,1.25,41,1.66,46,2.36,0.00
D,25,Zinchenko,4.8,4.8,Arsenal,12,0.45,15,0.66,15,0.80,0.00
D,26,Alex Moreno,4.2,4.2,Nott'm Forest,11,0.59,15,0.60,17,0.62,0.00
F,27,Archer,4.8,4.8,Southampton,21,1.05,25,1.29,26,1.29,0.00
M,28,Bailey,6.2,6.2,Aston Villa,14,0.81,15,1.09,14,0.84,0.00
M,29,Barkley,5.2,5.2,Aston Villa,28,1.40,21,1.31,19,0.99,0.00
M,30,Barrenechea,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,31,Buendia,5.1,5.1,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
D,32,Cash,4.4,4.4,Aston Villa,75,2.44,74,3.34,70,2.69,0.00
M,33,Dendoncker,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,34,Diaby,6.5,6.5,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
D,35,Diego Carlos,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
D,36,Digne,4.4,4.4,Aston Villa,50,1.92,48,2.47,50,2.17,0.01
M,37,Dobbin,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
F,38,Duran,5.7,5.7,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
G,39,Gauci,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
D,40,Hause,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,41,Iling Jr,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,42,Kamara,5.0,5.0,Aston Villa,87,2.24,82,2.54,81,2.21,0.00
D,43,Kesler-Hayden,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
D,44,Konsa,4.4,4.4,Aston Villa,91,2.59,89,3.52,87,3.03,0.49
D,45,Maatsen,4.5,4.5,Aston Villa,49,1.82,50,2.54,48,2.03,0.00
G,46,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
G,47,Martinez,5.0,5.0,Aston Villa,94,3.42,92,3.66,93,3.58,0.33
M,48,McGinn,5.2,5.2,Aston Villa,74,2.73,69,3.37,65,2.72,0.00
D,49,Mings,4.4,4.4,Aston Villa,22,0.75,23,1.01,29,1.12,0.00
D,50,Nedeljkovic,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
G,51,Olsen,4.5,4.5,Aston Villa,1,0.05,2,0.10,2,0.10,0.00
D,52,Pau,4.2,4.2,Aston Villa,79,2.29,78,3.13,75,2.64,0.00
M,53,Ramsey,5.4,5.4,Aston Villa,62,2.69,56,3.18,52,2.39,0.00
M,54,Rogers,5.7,5.7,Aston Villa,88,3.86,82,4.90,81,3.85,0.56
G,55,Sinisalo,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
D,56,Sousa,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,57,Tielemans,5.5,5.5,Aston Villa,0,0.00,25,1.27,70,2.85,0.00
F,58,Watkins,8.9,8.9,Aston Villa,84,4.62,77,5.74,80,4.57,0.04
D,59,Aarons,4.3,4.3,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,60,Adams,4.9,4.9,Bournemouth,65,1.86,63,1.63,63,2.19,0.00
M,61,Anthony,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,62,Brooks,4.9,4.9,Bournemouth,40,2.08,44,1.87,43,2.92,0.00
M,63,Christie,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,64,Cook,5.0,5.0,Bournemouth,87,2.60,82,2.08,80,3.07,0.00
F,65,Enes Ünal,5.4,5.4,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,66,Faivre,5.0,5.0,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,67,H.Traorè,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
D,68,Hill,3.9,3.9,Bournemouth,2,0.12,7,0.23,8,0.38,0.00
F,69,Jebbison,4.5,4.5,Bournemouth,5,0.35,6,0.38,8,0.66,0.00
D,70,Kerkez,5.3,5.3,Bournemouth,89,2.90,85,1.68,82,4.36,0.01
M,71,Kluivert,6.0,6.0,Bournemouth,75,4.33,76,3.37,73,5.83,0.09
D,72,Mepham,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
G,73,Neto,4.1,4.1,Arsenal,0,0.00,2,0.09,3,0.11,0.00
M,74,O.Dango,4.6,4.6,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
G,75,Paulsen,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,76,Philip,4.8,4.8,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,77,Scott,4.7,4.7,Bournemouth,54,2.13,56,1.86,57,2.81,0.00
M,78,Semenyo,5.7,5.7,Bournemouth,87,4.27,84,3.24,79,5.58,0.09
D,79,Senesi,4.6,4.6,Bournemouth,14,0.49,20,0.52,23,1.14,0.00
M,80,Sinisterra,4.8,4.8,Bournemouth,0,0.00,3,0.17,12,0.94,0.00
D,81,Smith,4.4,4.4,Bournemouth,61,2.10,59,1.35,58,3.01,0.00
F,82,Solanke,7.3,7.3,Spurs,41,2.43,41,2.07,35,2.17,0.01
M,83,Tavernier,5.4,5.4,Bournemouth,64,3.26,62,2.56,61,4.26,0.00
G,84,Travers,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
D,85,Zabarnyi,4.4,4.4,Bournemouth,86,2.55,83,1.48,80,3.75,0.00
D,86,Ajer,4.4,4.4,Brentford,29,1.24,22,0.85,16,0.58,0.00
M,87,Brierley,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0.00
D,88,Collins,4.6,4.6,Brentford,91,3.62,87,3.07,86,2.75,0.00
M,89,Damsgaard,4.9,4.9,Brentford,80,3.59,78,3.22,77,3.02,0.00
M,90,Dasilva,4.8,4.8,Brentford,0,0.00,0,0.00,4,0.24,0.00
G,91,Flekken,4.4,4.4,Brentford,94,3.83,92,3.55,92,3.46,0.02
D,92,Henry,4.3,4.3,Brentford,23,0.99,25,0.98,24,0.88,0.00
D,93,Hickey,4.3,4.3,Brentford,0,0.00,28,1.05,52,1.76,0.00
M,94,Janelt,4.8,4.8,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,95,Jensen,5.3,5.3,Brentford,36,1.76,40,1.73,41,1.67,0.00
D,96,Ji-soo,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,97,Konak,4.4,4.4,Brentford,3,0.18,6,0.27,6,0.27,0.00
M,98,Lewis-Potter,5.0,5.0,Brentford,77,3.13,72,2.72,72,2.60,0.00
M,99,Mbeumo,8.2,8.1,Brentford,91,6.67,88,5.63,86,4.85,0.94
D,100,Mee,4.2,4.2,Brentford,2,0.08,3,0.09,3,0.08,0.00
M,101,Nørgaard,4.8,4.8,Brentford,88,3.22,84,2.86,81,2.61,0.00
M,102,Onyeka,4.9,4.9,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,103,Peart-Harris,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0.00
D,104,Pinnock,4.4,4.4,Brentford,12,0.48,16,0.62,17,0.56,0.00
D,105,Roerslev,4.3,4.3,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,106,Schade,5.2,5.2,Brentford,81,4.90,79,4.21,78,3.82,0.01
F,107,Thiago,5.9,5.9,Brentford,13,0.78,11,0.60,12,0.63,0.00
F,108,Toney,7.3,7.3,Brentford,0,0.00,0,0.00,0,0.00,0.00
G,109,Valdimarsson,3.9,3.9,Brentford,0,0.00,3,0.11,3,0.12,0.00
F,110,Wissa,6.8,6.8,Brentford,86,5.54,86,4.76,82,4.16,0.22
M,111,Yarmoliuk,4.3,4.3,Brentford,68,2.78,66,2.45,65,2.30,0.00
D,112,Zanka,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,113,Adingra,5.1,5.1,Brighton,42,2.15,35,1.75,28,1.70,0.00
M,114,Baker-Boaitey,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,115,Baleba,5.0,5.0,Brighton,87,2.60,83,2.33,79,2.53,0.00
D,116,Barco,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,117,Buonanotte,4.5,4.5,Leicester,58,2.15,56,2.75,56,2.01,0.00
M,118,Cozier-Duberry,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,119,Dahoud,4.9,4.9,Brighton,0,0.00,0,0.00,0,0.00,0.00
D,120,Dunk,4.2,4.2,Brighton,76,2.50,74,1.79,72,2.33,0.14
M,121,Enciso,5.4,5.4,Ipswich,83,3.29,78,3.48,76,3.26,0.00
D,122,Estupiñan,4.9,4.9,Brighton,77,2.94,75,2.19,69,2.62,0.08
F,123,Ferguson,5.5,5.5,West Ham,11,0.64,12,0.69,14,0.88,0.00
M,124,Gilmour,5.0,5.0,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,125,Gross,6.5,6.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,126,Hinshelwood,4.9,4.9,Brighton,55,1.95,54,1.80,55,2.06,0.00
M,127,I.Osman,5.0,5.0,Brighton,0,0.00,0,0.00,0,0.00,0.00
D,128,Igor,4.3,4.3,Brighton,20,0.63,25,0.58,25,0.75,0.00
F,129,João Pedro,5.5,5.5,Brighton,0,0.00,72,3.84,71,4.44,0.06
M,130,Kozlowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
D,131,Lamptey,4.4,4.4,Brighton,23,0.96,22,0.77,22,0.93,0.00
M,132,March,6.5,6.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,133,Mazilu,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,134,Milner,5.0,5.0,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,135,Minteh,4.8,4.8,Brighton,75,3.71,70,3.29,67,3.74,0.01
M,136,Mitoma,6.4,6.4,Brighton,67,3.47,66,3.16,67,3.85,0.00
M,137,Moder,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0.00
F,138,O’Mahony,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
D,139,Offiah,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,140,Peupion,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,141,Sarmiento,4.9,4.9,Brighton,0,0.00,0,0.00,0,0.00,0.00
G,142,Steele,4.0,4.0,Brighton,1,0.04,2,0.06,3,0.09,0.00
F,143,Undav,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
D,144,Van Hecke,4.5,4.5,Brighton,91,2.78,87,1.91,86,2.56,0.00
D,145,Veltman,4.3,4.3,Brighton,54,1.79,49,1.25,50,1.61,0.00
G,146,Verbruggen,4.6,4.6,Brighton,94,3.46,93,3.10,93,3.36,0.06
D,147,Webster,4.3,4.3,Brighton,7,0.26,10,0.29,13,0.43,0.00
F,148,Welbeck,5.5,5.5,Brighton,87,4.55,69,3.33,63,3.74,0.03
M,149,Wieffer,4.7,4.7,Brighton,28,1.11,30,1.14,28,1.18,0.00
M,150,Andrey Santos,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,151,Ângelo,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0.00
G,152,Arrizabalaga,4.6,4.6,Bournemouth,94,3.40,93,3.11,93,4.07,0.06
D,153,B.Badiashile,4.2,4.2,Chelsea,3,0.08,6,0.22,7,0.21,0.00
G,154,Bergström,3.9,3.9,Chelsea,0,0.00,0,0.00,0,0.00,0.00
G,155,Bettinelli,3.9,3.9,Chelsea,0,0.00,0,0.00,0,0.00,0.00
F,156,Broja,5.3,5.3,Everton,17,0.87,17,1.12,16,0.79,0.00
M,157,Caicedo,4.9,4.9,Chelsea,84,2.14,81,2.48,84,2.29,0.00
M,158,Casadei,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,159,Chalobah,4.4,4.4,Chelsea,77,2.17,72,3.26,74,2.88,0.00
D,160,Chilwell,4.6,4.6,Crystal Palace,28,1.23,29,1.41,29,0.80,0.00
M,161,Chukwuemeka,4.7,4.7,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,162,Colwill,4.4,4.4,Chelsea,90,2.30,88,3.71,85,3.03,0.01
D,163,Cucurella,5.4,5.4,Chelsea,87,2.40,82,3.79,83,3.21,0.01
F,164,D.D.Fofana,5.4,5.4,Chelsea,0,0.00,0,0.00,0,0.00,0.00
F,165,Deivid,4.9,4.9,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,166,Dewsbury-Hall,5.5,5.5,Chelsea,13,0.62,22,1.30,25,1.20,0.00
D,167,Disasi,4.2,4.2,Aston Villa,11,0.31,14,0.52,15,0.52,0.00
M,168,Enzo,4.7,4.7,Chelsea,88,3.07,87,4.08,85,3.57,0.01
M,169,Gallagher,5.9,5.9,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,170,Gilchrist,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,171,Gusto,4.9,4.9,Chelsea,33,1.07,39,1.87,39,1.65,0.00
D,172,James,4.8,4.8,Chelsea,34,1.31,39,2.28,38,1.95,0.00
M,173,Kellyman,4.3,4.3,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,174,Lavia,4.5,4.5,Chelsea,53,1.57,51,1.77,58,1.80,0.00
F,175,Lukaku,6.3,6.3,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,176,M.Sarr,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,177,Madueke,6.0,6.0,Chelsea,65,3.13,69,4.34,68,3.71,0.00
F,178,Marc Guiu,4.7,4.7,Chelsea,8,0.44,19,1.22,8,0.56,0.00
M,179,Mudryk,6.1,6.1,Chelsea,0,0.00,0,0.00,11,0.68,0.00
F,180,N.Jackson,7.7,7.7,Chelsea,77,3.77,74,4.77,73,3.96,0.00
M,181,Nkunku,5.7,5.7,Chelsea,0,0.00,0,0.00,19,1.21,0.00
M,182,Palmer,10.5,10.5,Chelsea,88,5.15,85,6.88,40,2.65,0.28
G,183,Petrović,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,184,Renato Veiga,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0.00
G,185,Sánchez,4.5,4.5,Chelsea,92,3.27,91,3.77,90,3.50,0.01
M,186,Sterling,6.7,6.7,Arsenal,11,0.63,12,0.73,13,0.98,0.00
D,187,Tosin,4.2,4.2,Chelsea,19,0.61,24,1.05,25,0.98,0.00
M,188,Ugochukwu,4.4,4.4,Southampton,81,2.02,80,2.07,78,1.97,0.00
D,189,W.Fofana,4.3,4.3,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,190,Ahamada,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,191,Andersen,4.2,4.2,Fulham,93,3.85,89,2.31,88,2.10,0.01
M,192,J.Ayew,5.1,5.1,Leicester,54,2.19,53,2.96,54,2.14,0.00
M,193,C.Doucouré,4.8,4.8,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,194,C.Richards,4.4,4.4,Crystal Palace,87,2.52,85,3.13,82,1.37,0.00
D,195,Chadi Riad,4.3,4.3,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,196,Clyne,4.3,4.3,Crystal Palace,12,0.44,18,0.71,17,0.47,0.00
M,197,Ebiowei,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
F,198,Edouard,5.1,5.1,Leicester,2,0.16,4,0.30,5,0.34,0.00
M,199,Eze,6.9,6.9,Crystal Palace,80,4.84,78,4.70,80,3.56,0.53
D,200,Guéhi,4.7,4.7,Crystal Palace,93,2.69,90,3.32,89,1.42,0.00
G,201,Henderson,4.6,4.6,Crystal Palace,94,3.33,93,3.59,92,3.00,0.31
D,202,Holding,4.2,4.2,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
M,203,Hughes,4.9,4.9,Crystal Palace,42,1.50,38,1.38,33,1.09,0.00
G,204,Johnstone,4.1,4.1,Wolves,0,0.00,0,0.00,1,0.05,0.00
M,205,Kamada,5.1,5.1,Crystal Palace,62,2.82,56,2.55,52,1.89,0.00
M,206,Lerma,4.8,4.8,Crystal Palace,74,2.30,57,1.89,50,1.40,0.00
F,207,Mateta,7.6,7.4,Crystal Palace,68,3.86,68,3.64,65,2.78,0.43
M,208,M.França,4.4,4.4,Crystal Palace,14,0.82,17,0.99,17,0.79,0.00
G,209,Matthews,3.9,3.9,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,210,Mitchell,4.8,4.8,Crystal Palace,68,2.34,68,2.83,66,1.37,0.00
D,211,Muñoz,5.2,5.1,Crystal Palace,90,3.24,86,3.69,86,1.67,0.46
M,212,Ozoh,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
M,213,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
M,214,Schlupp,4.6,4.6,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,215,Ward,4.3,4.3,Crystal Palace,4,0.14,6,0.24,7,0.18,0.00
M,216,Wharton,4.7,4.7,Crystal Palace,0,0.00,32,1.15,57,1.60,0.00
M,217,A.Doucoure,5.1,5.1,Everton,84,2.89,80,3.92,78,2.52,0.00
F,218,Beto,4.8,4.8,Everton,48,2.25,43,2.96,39,1.76,0.00
D,219,Branthwaite,4.8,4.8,Everton,91,2.46,88,3.92,86,1.73,0.00
F,220,Calvert-Lewin,5.4,5.4,Everton,40,1.99,42,3.00,47,2.13,0.00
